seed,simulation,AF,SINGER,phasedibd,MEOWSS
1,16,0.5,,0.2448257545520779,0.24188110160783238
1,17,0.5,,0.12013088631409038,0.1381412382285457
1,15,0.5,0.001516196454316561,0.03402298232732211,0.04887391501466396
1,13,0.5,0.07619052265288835,0.5560947094722667,0.45370552857929564
1,14,0.5,0.14724788604432082,0.2874309058240043,0.28324769045475257
1,16,0.7,,0.21274709363534924,0.2854099384585749
1,17,0.7,,0.09215236896895827,0.13876077007593107
2,16,0.5,,0.2515143874780186,0.23629875888045854
1,13,0.7,0.13945598045589833,0.5597136087715131,0.4363687192074587
1,14,0.7,-0.009304238116832935,0.28998628906796164,0.2591651112820134
1,15,0.7,0.05325229799964542,0.10820216463630472,0.09552738977670165
2,17,0.5,,0.1357848679473484,0.13322433155511
2,13,0.5,0.07010533090983553,0.4718604967049679,0.42178196151323255
2,15,0.5,0.002704815869461419,0.045395684539321024,0.03707587174554704
2,14,0.5,0.03555761285659194,0.23059011359596604,0.20906692277367533
2,17,0.7,,0.11467315218474827,0.13771561108107805
3,16,0.5,,0.27662779675189075,0.31620509812634856
2,16,0.7,,0.3725465187061324,0.28099880984222975
3,17,0.5,,0.11566364225909415,0.13013155317835062
2,15,0.7,-0.01667016798740959,0.04620040040257848,0.049363900681405296
3,14,0.5,0.019985838019041833,0.2058483291149516,0.14063541122381495
2,14,0.7,-0.00488051425324344,0.1568954150347999,0.17338581437559022
2,13,0.7,0.04241859227832938,0.5237196584288918,0.4218251197039641
3,17,0.7,,0.12772042550074628,0.10203222154535821
3,16,0.7,,0.2743104314986906,0.2793931832480352
3,13,0.5,0.003895634203970205,0.49625683175226704,0.23575011668460508
3,15,0.5,0.013280791502261944,0.04961360025686434,0.040639749787311524
3,15,0.7,0.04095055909687973,0.046444697618520735,0.0549814600180352
3,13,0.7,0.1569364807053959,0.6906922509968371,0.4820365955234253
4,17,0.5,,0.10965111816701456,0.14072790679256508
4,17,0.7,,0.09130935762959749,0.12067634006512362
4,16,0.5,,0.17242421603998442,0.19837272819742588
4,13,0.5,0.03356736430451713,0.44207135387959595,0.36171193629856885
3,14,0.7,0.05183673708218411,0.22027110618862275,0.13205736208791602
4,15,0.7,0.060034345630721485,0.010406215361683586,0.022812674762293046
4,15,0.5,-0.00016288402608885896,0.04791898207404435,0.05218361865860978
4,14,0.5,0.006914878123895451,0.13433104779408722,0.13239542665315124
5,16,0.5,,0.31236436621102176,0.2289538065363521
4,16,0.7,,0.21598403492672927,0.21216377153772958
5,15,0.5,0.021532741481385446,0.03433578159261216,0.0251100845258811
4,14,0.7,0.0069076545287676296,0.1910432312863244,0.20023047802798496
5,13,0.5,0.12804427297876575,0.6086393953757816,0.5609561739149294
4,13,0.7,0.13100394120534553,0.5778914566869526,0.45431610665907857
5,17,0.5,,0.11054582256862334,0.12701615666712865
5,16,0.7,,0.22983590884766458,0.27049484260888257
5,17,0.7,,0.09005873470000846,0.11539262486446475
5,14,0.5,0.07128144472571041,0.18573923886598995,0.15992942312022812
5,13,0.7,0.020439210681707367,0.6170547839883326,0.5514476284079625
5,14,0.7,0.11831817618301498,0.12542806489423314,0.08795325080610888
5,15,0.7,0.013751616691806044,0.0478688533806117,0.06935435416863851
6,14,0.5,0.051908097727146905,0.2102639207884125,0.2124103191891392
6,17,0.5,,0.10125784814954868,0.11512518468310004
6,16,0.5,,0.25742855278797744,0.2302408109304807
6,15,0.5,-0.0071257703549341455,0.03372804280853425,0.04412783853230817
6,13,0.5,0.17472133117314537,0.63123189158864,0.6541589385699458
6,17,0.7,,0.060324161689616206,0.10336482640853294
6,16,0.7,,0.14406327012451986,0.21494638796967677
6,14,0.7,0.11021039832996246,0.2222555662447613,0.2650952979980712
7,14,0.5,-0.014557712853519356,0.1049242008203535,0.11063851296261307
6,15,0.7,0.040420179859378215,0.05569697386718313,0.05283718051858927
6,13,0.7,0.33542732027150934,0.6092314966853865,0.7686328677570791
7,17,0.5,,0.12956791959482714,0.15696191796678385
7,16,0.5,,0.29401425742642956,0.2580961244549126
7,13,0.5,0.10149312804867083,0.66276589880834,0.5135472663955335
7,15,0.5,-0.016023619646603534,0.0575851333601301,0.04137176607284907
7,17,0.7,,0.10596354185980547,
8,16,0.5,,0.1468716790773883,
7,16,0.7,,0.2355615410120847,0.2834535310910132
8,14,0.5,-0.005821591791045451,0.2813232645074722,
7,14,0.7,0.013595984988508926,0.1742912753450227,
7,15,0.7,-0.007763112198777127,0.04451583559386649,0.043217050923979164
8,13,0.5,0.2246005862585092,0.5839901521505484,
7,13,0.7,0.4621928838462811,0.6609577032231521,0.3672009862251863
8,17,0.5,,0.11236248271240508,
8,16,0.7,,0.1771376970704627,
8,15,0.5,0.021012802546257116,0.0672603593616961,
8,14,0.7,-0.017099581545953847,0.15774298051324598,
8,15,0.7,-0.026864628181682823,0.0531801201309829,
8,13,0.7,0.42786094315544937,0.5735165517783657,
9,17,0.5,,0.07784839659982493,
8,17,0.7,,0.11442282946352791,
9,16,0.5,,0.2964413815036254,
9,15,0.5,0.028475716608037615,0.06287122676366393,
9,16,0.7,,0.19247553882979887,
9,13,0.7,0.1076297672032459,0.49338631482224493,
9,14,0.5,0.11112088242062461,0.19565191893283918,
9,13,0.5,0.08589854750345281,0.5501060357463416,
10,17,0.5,,0.09770826179156064,
10,16,0.5,,0.15589010300000958,
9,17,0.7,,0.11605205556081787,
9,15,0.7,0.01670101231346547,0.057864844879226385,
10,14,0.5,0.007591667257397041,0.24785935375813287,
10,15,0.5,0.007287038069701075,0.05425862049118173,
9,14,0.7,0.013589329556087828,0.11062537665972888,
10,16,0.7,,0.20091726978356794,
10,13,0.5,0.13058315070165988,0.6242910490129394,
10,13,0.7,0.07457315633388326,0.6558038435463984,
10,17,0.7,,0.08138413757471896,
10,15,0.7,0.03526308558128799,0.028198727192206903,
10,14,0.7,-0.013162561451628656,0.13384659736646434,
